Date,Open,High,Low,Close,Volume,Adj Close
17/12/2001,120.15,122.14,120.15,121.34,6205100,103.12
18/12/2001,121.51,122.97,121.35,122.2,5596200,103.85
19/12/2001,121.9,124.7,121.01,123.89,8053900,105.29
20/12/2001,123.89,124,122.15,122.7,6344800,104.28
21/12/2001,122.7,123.5,121.71,122,8659100,103.68
24/12/2001,122.05,122.48,121.1,121.45,1654400,103.22
26/12/2001,122,123.7,121.81,122.4,3755700,104.02
27/12/2001,122.75,123.93,122.64,123.5,3826200,104.96
28/12/2001,123.5,123.88,122.35,122.9,4213900,104.45
31/12/2001,122.75,123.24,120.95,120.96,3512700,102.8
02/01/2002,120.6,121.5,119.8,121.5,6862800,103.26
03/01/2002,121.5,124.22,120.25,123.66,8621700,105.09
04/01/2002,124.05,125.6,123.98,125.6,8405200,106.74
07/01/2002,125,126.19,123.7,124.05,5939600,105.43
08/01/2002,124.25,125.2,123.73,124.7,5311800,105.98
09/01/2002,124.7,126.39,124.15,124.49,6839900,105.8
10/01/2002,123.75,124,121.42,122.14,8926300,103.8
11/01/2002,121.5,122.18,120.28,120.31,4797800,102.25
14/01/2002,120,120.09,117.1,118.05,10026700,100.33
15/01/2002,118.05,119.7,117.72,118.85,5647900,101.01
16/01/2002,118,118.75,117.25,117.4,5366300,99.77
17/01/2002,119.85,120.55,117.26,119.9,11153700,101.9
18/01/2002,114.25,114.9,112.81,114.25,18440200,97.1
22/01/2002,114.25,114.26,110.33,110.5,10130400,93.91
23/01/2002,110.8,111.25,107,107.9,12556700,91.7
24/01/2002,108.8,109.73,107.07,108.72,8581500,92.4
25/01/2002,108.5,110.69,108.1,109.28,6761800,92.87
28/01/2002,109.5,110.21,107.06,108.15,7092900,91.91
29/01/2002,108.15,108.56,102.41,103,14509400,87.54
30/01/2002,104.25,105.75,101,105.55,17713300,89.7
31/01/2002,106.4,107.98,104.46,107.89,9877000,91.69
01/02/2002,107.64,109.3,106.64,108,6799500,91.79
04/02/2002,108,108,105.99,106.8,6601900,90.77
05/02/2002,106.25,108.5,106,106.3,6737700,90.34
06/02/2002,106.7,107.82,105.33,106.63,6669800,90.74
07/02/2002,106.64,107,103.86,103.91,7253800,88.43
08/02/2002,103,105.72,102.61,104.99,8339400,89.35
11/02/2002,105,107.69,104.51,107.38,6271900,91.38
12/02/2002,106.75,107.89,106.06,106.57,4559800,90.69
13/02/2002,106.7,108.48,106.12,108.07,5086900,91.97
14/02/2002,109,109.15,107.2,107.89,5816300,91.81
15/02/2002,104.8,104.8,101.7,102.89,18204600,87.56
19/02/2002,101.5,101.8,98.86,101.3,13395900,86.21
20/02/2002,99.54,100,97,99.31,14525200,84.51
21/02/2002,98.75,99.7,96.01,96.38,10131700,82.02
22/02/2002,96.38,99.2,95.76,98.45,10471600,83.78
25/02/2002,98.45,99.25,97.12,98.3,9902800,83.65
26/02/2002,99,99.19,95.99,97.15,11634500,82.67
27/02/2002,98.1,100.31,96.7,97.83,11978700,83.25
28/02/2002,98.49,99.6,97.82,98.12,7939000,83.5
01/03/2002,98.6,103.1,98.5,103.02,10492900,87.67
04/03/2002,103.35,106.53,103.13,105.9,10767700,90.12
05/03/2002,104.25,106.5,104.16,105.67,7562100,89.92
06/03/2002,105.15,107.09,104.75,106.3,7687400,90.46
07/03/2002,107.3,107.5,103.24,103.71,10971900,88.26
08/03/2002,104.82,107.34,104.82,105.09,10726400,89.43
11/03/2002,104.35,105.97,103.6,105.24,8639100,89.56
12/03/2002,105.52,108.85,105.51,108.5,11059300,92.33
13/03/2002,108.3,108.65,106.7,107.18,6409200,91.21
14/03/2002,107.02,107.95,106.59,106.6,5335500,90.72
15/03/2002,106.55,107.45,105.59,106.79,10864100,90.88
18/03/2002,107.1,108.64,106.23,106.35,5301200,90.5
19/03/2002,106.85,108.05,106.49,107.49,4614800,91.47
20/03/2002,106.9,106.9,105.49,105.5,4844100,89.78
21/03/2002,105.7,106.78,104.7,106.78,5113100,90.87
22/03/2002,106.5,106.7,105.07,105.6,5507900,89.86
25/03/2002,105.8,106.66,103.5,103.56,6277900,88.13
26/03/2002,103.57,105.7,102.3,102.9,8144000,87.57
27/03/2002,103.75,103.79,102.5,103.39,5602400,87.98
28/03/2002,103.55,105.14,103.39,104,5347500,88.5
01/04/2002,104,104,102.4,102.86,5587000,87.53
02/04/2002,102,102.01,100.51,100.95,7382200,85.91
03/04/2002,101.4,101.5,98.9,99.96,7649100,85.07
04/04/2002,99.96,101.14,99.5,100.84,5928500,85.81
05/04/2002,100.84,101.25,97.25,97.25,9801800,82.76
08/04/2002,87.5,88.59,85.35,87.41,41207300,74.39
09/04/2002,88.5,88.52,87.1,87.74,17383600,74.67
10/04/2002,88.45,89.95,88.2,89.01,13143900,75.75
11/04/2002,88.05,88.51,83.34,84.19,23343700,71.64
12/04/2002,87.56,87.96,84.4,85.6,15819300,72.84
15/04/2002,86.5,86.6,84.7,85.35,8871600,72.63
16/04/2002,86.35,86.85,85.58,86.2,7933100,73.36
17/04/2002,87.05,87.2,84,84.81,11019500,72.17
18/04/2002,86.97,89.1,86.9,88.95,14763500,75.7
19/04/2002,89.9,90.03,87.6,89,9273200,75.74
22/04/2002,88.95,88.95,87.36,87.93,6757700,74.83
23/04/2002,88.35,89.08,87.24,87.33,5144100,74.32
24/04/2002,88.2,88.25,86.27,86.5,6520500,73.61
25/04/2002,86.05,86.92,85.77,86.71,6870000,73.79
26/04/2002,86.7,86.96,84.7,84.71,6684200,72.09
29/04/2002,84.71,85.1,83.55,83.89,6535600,71.39
30/04/2002,83.91,85.23,83.53,83.76,8883900,71.28
01/05/2002,83.85,84.65,81.67,84.3,12203800,71.74
02/05/2002,83.75,84.8,83.13,83.86,6582900,71.36
03/05/2002,83.1,83.5,81.11,81.78,8656300,69.59
06/05/2002,81.7,81.87,76,76,13648400,64.68
07/05/2002,76.89,77.5,75.92,76.5,17418700,65.1
08/05/2002,78.2,82.8,78.2,82.45,12779700,70.3
09/05/2002,81.9,83,79,79.93,10130100,68.15
10/05/2002,79.95,80.5,79.25,79.68,7386300,67.94
13/05/2002,80.25,82.29,79.5,82.19,6527600,70.08
14/05/2002,84.5,85.48,82.19,85.48,9624700,72.89
15/05/2002,84.6,86.49,84.05,84.5,8552300,72.05
16/05/2002,84.2,86,83.4,85.45,6768300,72.86
17/05/2002,86.25,86.4,85,85.69,5874800,73.06
20/05/2002,85.45,85.46,83.93,84.45,4530300,72.01
21/05/2002,84.41,85,83.3,83.45,4454000,71.15
22/05/2002,83.76,84.39,82.74,84,5040700,71.62
23/05/2002,84.25,85.05,82.52,84.35,6865600,71.92
24/05/2002,83.65,83.75,82.62,83.1,4122000,70.86
28/05/2002,82.8,83.11,81.69,82.08,4552100,69.99
29/05/2002,81.5,82,81,81.6,4519500,69.58
30/05/2002,80.6,82.25,80.22,82.25,7374100,70.13
31/05/2002,82.05,82.05,80.4,80.45,5126200,68.6
03/06/2002,80.75,80.91,78,78.11,8383600,66.6
04/06/2002,78.11,79.65,77.6,79.31,7273200,67.62
05/06/2002,79.65,80.71,79.11,80.55,7172100,68.68
06/06/2002,80.55,80.95,78.89,79.66,5540600,67.92
07/06/2002,78.48,78.85,77,78.3,9309400,66.76
10/06/2002,77.75,78.8,76.6,76.8,7075800,65.48
11/06/2002,77.85,78.25,75.2,75.49,7953400,64.37
12/06/2002,75.4,75.95,73.25,74.65,13296100,63.65
